filepath,ext,type,size,path,ref_date,geo_code,geo_level,file_type,format,projection,geo_coverage,language
gre_000b16m_f,zip,file, 24.1M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/ER-RE/gre_000b16m_f.zip,2016,re_,economic region,cartographic boundary file,MapInfo® (.tab),lat/long,canada,french
gcef000b16m_f,zip,file, 32.67M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/FED-CEF/gcef000b16m_f.zip,2016,cef,federal electoral district,cartographic boundary file,MapInfo® (.tab),lat/long,canada,french
gfed000b16m_e,zip,file, 32.65M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/FED-CEF/gfed000b16m_e.zip,2016,fed,federal electoral district,cartographic boundary file,MapInfo® (.tab),lat/long,canada,english
ghy_000c16m_e,zip,file,116.41M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/HYDRO/ghy_000c16m_e.zip,2016,hy_,NA,interior lakes and rivers hydrographic reference file (polygon),MapInfo® (.tab),lat/long,canada,english
ghy_000c16m_f,zip,file,116.43M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/HYDRO/ghy_000c16m_f.zip,2016,hy_,NA,interior lakes and rivers hydrographic reference file (polygon),MapInfo® (.tab),lat/long,canada,french
ghy_000d16m_e,zip,file, 37.92M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/HYDRO/ghy_000d16m_e.zip,2016,hy_,NA,interior rivers hydrographic reference file (line),MapInfo® (.tab),lat/long,canada,english
ghy_000d16m_f,zip,file, 37.95M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/HYDRO/ghy_000d16m_f.zip,2016,hy_,NA,interior rivers hydrographic reference file (line),MapInfo® (.tab),lat/long,canada,french
ghy_000h16m_e,zip,file, 35.3M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/HYDRO/ghy_000h16m_e.zip,2016,hy_,NA,"hydrographic coverage of Great Lakes, St. Lawrence River and surrounding oceans",MapInfo® (.tab),lat/long,canada,english
ghy_000h16m_f,zip,file, 35.33M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/HYDRO/ghy_000h16m_f.zip,2016,hy_,NA,"hydrographic coverage of Great Lakes, St. Lawrence River and surrounding oceans",MapInfo® (.tab),lat/long,canada,french
gcp_000b16m_f,zip,file,  3.05M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/PC-CP/gcp_000b16m_f.zip,2016,cp_,population centre,cartographic boundary file,MapInfo® (.tab),lat/long,canada,french
gpc_000b16m_e,zip,file,  3.02M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/PC-CP/gpc_000b16m_e.zip,2016,pc_,population centre,cartographic boundary file,MapInfo® (.tab),lat/long,canada,english
gpr_000b16m_e,zip,file, 35.9M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/PR-PR/gpr_000b16m_e.zip,2016,pr_,province and territory,cartographic boundary file,MapInfo® (.tab),lat/long,canada,english
gpr_000b16m_f,zip,file, 35.92M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/PR-PR/gpr_000b16m_f.zip,2016,pr_,province and territory,cartographic boundary file,MapInfo® (.tab),lat/long,canada,french
gfsa000b16m_e,zip,file, 40.34M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/FSA-RTA/gfsa000b16m_e.zip,2016,fsa,census forward sortation area,cartographic boundary file,MapInfo® (.tab),lat/long,canada,english
grta000b16m_f,zip,file, 40.35M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/FSA-RTA/grta000b16m_f.zip,2016,rta,census forward sortation area,cartographic boundary file,MapInfo® (.tab),lat/long,canada,french
gada000a16m_e,zip,file, 13.19M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/ADA-ADA/gada000a16m_e.zip,2016,ada,aggregate dissemination area,digital boundary file,MapInfo® (.tab),lat/long,canada,english
gada000a16m_f,zip,file, 13.21M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/ADA-ADA/gada000a16m_f.zip,2016,ada,aggregate dissemination area,digital boundary file,MapInfo® (.tab),lat/long,canada,french
gcar000a16m_e,zip,file,  2.83M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/CAR-RAR/gcar000a16m_e.zip,2016,car,census agricultural region,digital boundary file,MapInfo® (.tab),lat/long,canada,english
grar000a16m_f,zip,file,  2.86M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/CAR-RAR/grar000a16m_f.zip,2016,rar,census agricultural region,digital boundary file,MapInfo® (.tab),lat/long,canada,french
gccs000a16m_e,zip,file, 11.2M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/CCS-SRU/gccs000a16m_e.zip,2016,ccs,census consolidated subdivision,digital boundary file,MapInfo® (.tab),lat/long,canada,english
gsru000a16m_f,zip,file, 11.22M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/CCS-SRU/gsru000a16m_f.zip,2016,sru,census consolidated subdivision,digital boundary file,MapInfo® (.tab),lat/long,canada,french
gcd_000a16m_e,zip,file,  4.42M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/CD-DR/gcd_000a16m_e.zip,2016,cd_,census division,digital boundary file,MapInfo® (.tab),lat/long,canada,english
gdr_000a16m_f,zip,file,  4.39M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/CD-DR/gdr_000a16m_f.zip,2016,dr_,census division,digital boundary file,MapInfo® (.tab),lat/long,canada,french
gcma000a16m_e,zip,file,  1.3M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/CMA-RMR/gcma000a16m_e.zip,2016,cma,census metropolitan area and census agglomeration,digital boundary file,MapInfo® (.tab),lat/long,canada,english
grmr000a16m_f,zip,file,  1.32M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/CMA-RMR/grmr000a16m_f.zip,2016,rmr,census metropolitan area and census agglomeration,digital boundary file,MapInfo® (.tab),lat/long,canada,french
gcsd000a16m_e,zip,file, 16.99M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/CSD-SDR/gcsd000a16m_e.zip,2016,csd,census subdivision,digital boundary file,MapInfo® (.tab),lat/long,canada,english
gsdr000a16m_f,zip,file, 17.02M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/CSD-SDR/gsdr000a16m_f.zip,2016,sdr,census subdivision,digital boundary file,MapInfo® (.tab),lat/long,canada,french
gct_000a16m_e,zip,file,  5.73M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/CT-SR/gct_000a16m_e.zip,2016,ct_,census tract,digital boundary file,MapInfo® (.tab),lat/long,canada,english
gsr_000a16m_f,zip,file,  5.75M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/CT-SR/gsr_000a16m_f.zip,2016,sr_,census tract,digital boundary file,MapInfo® (.tab),lat/long,canada,french
gad_000a16m_f,zip,file, 52.35M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/DA-AD/gad_000a16m_f.zip,2016,ad_,dissemination area,digital boundary file,MapInfo® (.tab),lat/long,canada,french
gda_000a16m_e,zip,file, 52.37M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/DA-AD/gda_000a16m_e.zip,2016,da_,dissemination area,digital boundary file,MapInfo® (.tab),lat/long,canada,english
gdb_000a16m_e,zip,file,178.44M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/DB-ID/gdb_000a16m_e.zip,2016,db_,dissemination block,digital boundary file,MapInfo® (.tab),lat/long,canada,english
gid_000a16m_f,zip,file,178.47M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/DB-ID/gid_000a16m_f.zip,2016,id_,NA,digital boundary file,MapInfo® (.tab),lat/long,canada,french
gdpl000a16m_e,zip,file,  1.6M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/DPL-LD/gdpl000a16m_e.zip,2016,dpl,designated place,digital boundary file,MapInfo® (.tab),lat/long,canada,english
gld_000a16m_f,zip,file,  1.62M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/DPL-LD/gld_000a16m_f.zip,2016,ld_,designated place,digital boundary file,MapInfo® (.tab),lat/long,canada,french
ger_000a16m_e,zip,file,  2.54M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/ER-RE/ger_000a16m_e.zip,2016,er_,economic region,digital boundary file,MapInfo® (.tab),lat/long,canada,english
gre_000a16m_f,zip,file,  2.57M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/ER-RE/gre_000a16m_f.zip,2016,re_,economic region,digital boundary file,MapInfo® (.tab),lat/long,canada,french
gcef000a16m_f,zip,file,  4.3M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/FED-CEF/gcef000a16m_f.zip,2016,cef,federal electoral district,digital boundary file,MapInfo® (.tab),lat/long,canada,french
gfed000a16m_e,zip,file,  4.28M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/FED-CEF/gfed000a16m_e.zip,2016,fed,federal electoral district,digital boundary file,MapInfo® (.tab),lat/long,canada,english
gcp_000a16m_f,zip,file,  2.66M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/PC-CP/gcp_000a16m_f.zip,2016,cp_,population centre,digital boundary file,MapInfo® (.tab),lat/long,canada,french
gpc_000a16m_e,zip,file,  2.64M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/PC-CP/gpc_000a16m_e.zip,2016,pc_,population centre,digital boundary file,MapInfo® (.tab),lat/long,canada,english
gpr_000a16m_e,zip,file,  1.61M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/PR-PR/gpr_000a16m_e.zip,2016,pr_,province and territory,digital boundary file,MapInfo® (.tab),lat/long,canada,english
gpr_000a16m_f,zip,file,  1.64M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/PR-PR/gpr_000a16m_f.zip,2016,pr_,province and territory,digital boundary file,MapInfo® (.tab),lat/long,canada,french
gfsa000a16m_e,zip,file, 10.74M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/FSA-RTA/gfsa000a16m_e.zip,2016,fsa,census forward sortation area,digital boundary file,MapInfo® (.tab),lat/long,canada,english
grta000a16m_f,zip,file, 10.76M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/DBF/FSA-RTA/grta000a16m_f.zip,2016,rta,census forward sortation area,digital boundary file,MapInfo® (.tab),lat/long,canada,french
grnf000r16m_e,zip,file,263.03M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/RNF-FRR/2016/grnf000r16m_e.zip,2016,rnf,road network file,NA,MapInfo® (.tab),lat/long,canada,english
grnf000r16m_f,zip,file,262.96M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/RNF-FRR/2016/grnf000r16m_f.zip,2016,rnf,road network file,NA,MapInfo® (.tab),lat/long,canada,french
gada000b16a_e,zip,file, 57.74M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/ADA-ADA/gada000b16a_e.zip,2016,ada,aggregate dissemination area,cartographic boundary file,ArcGIS (.shp),lat/long,canada,english
gada000b16a_f,zip,file, 57.77M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/ADA-ADA/gada000b16a_f.zip,2016,ada,aggregate dissemination area,cartographic boundary file,ArcGIS (.shp),lat/long,canada,french
gcar000b16a_e,zip,file, 41.52M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/CAR-RAR/gcar000b16a_e.zip,2016,car,census agricultural region,cartographic boundary file,ArcGIS (.shp),lat/long,canada,english
grar000b16a_f,zip,file, 41.54M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/CAR-RAR/grar000b16a_f.zip,2016,rar,census agricultural region,cartographic boundary file,ArcGIS (.shp),lat/long,canada,french
gccs000b16a_e,zip,file, 57.35M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/CCS-SRU/gccs000b16a_e.zip,2016,ccs,census consolidated subdivision,cartographic boundary file,ArcGIS (.shp),lat/long,canada,english
gsru000b16a_f,zip,file, 57.38M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/CCS-SRU/gsru000b16a_f.zip,2016,sru,census consolidated subdivision,cartographic boundary file,ArcGIS (.shp),lat/long,canada,french
gcd_000b16a_e,zip,file, 44.18M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/CD-DR/gcd_000b16a_e.zip,2016,cd_,census division,cartographic boundary file,ArcGIS (.shp),lat/long,canada,english
gdr_000b16a_f,zip,file, 44.2M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/CD-DR/gdr_000b16a_f.zip,2016,dr_,census division,cartographic boundary file,ArcGIS (.shp),lat/long,canada,french
gcma000b16a_e,zip,file,  4.8M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/CMA-RMR/gcma000b16a_e.zip,2016,cma,census metropolitan area and census agglomeration,cartographic boundary file,ArcGIS (.shp),lat/long,canada,english
grmr000b16a_f,zip,file,  4.82M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/CMA-RMR/grmr000b16a_f.zip,2016,rmr,census metropolitan area and census agglomeration,cartographic boundary file,ArcGIS (.shp),lat/long,canada,french
gcsd000b16a_e,zip,file, 64.59M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/CSD-SDR/gcsd000b16a_e.zip,2016,csd,census subdivision,cartographic boundary file,ArcGIS (.shp),lat/long,canada,english
gsdr000b16a_f,zip,file, 64.61M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/CSD-SDR/gsdr000b16a_f.zip,2016,sdr,census subdivision,cartographic boundary file,ArcGIS (.shp),lat/long,canada,french
gct_000b16a_e,zip,file, 10.68M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/CT-SR/gct_000b16a_e.zip,2016,ct_,census tract,cartographic boundary file,ArcGIS (.shp),lat/long,canada,english
gsr_000b16a_f,zip,file, 10.71M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/CT-SR/gsr_000b16a_f.zip,2016,sr_,census tract,cartographic boundary file,ArcGIS (.shp),lat/long,canada,french
gad_000b16a_f,zip,file,120.27M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/DA-AD/gad_000b16a_f.zip,2016,ad_,dissemination area,cartographic boundary file,ArcGIS (.shp),lat/long,canada,french
gda_000b16a_e,zip,file,120.24M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/DA-AD/gda_000b16a_e.zip,2016,da_,dissemination area,cartographic boundary file,ArcGIS (.shp),lat/long,canada,english
gdb_000b16a_e,zip,file,298.12M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/DB-ID/gdb_000b16a_e.zip,2016,db_,dissemination block,cartographic boundary file,ArcGIS (.shp),lat/long,canada,english
gid_000b16a_f,zip,file,298.15M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/DB-ID/gid_000b16a_f.zip,2016,id_,NA,cartographic boundary file,ArcGIS (.shp),lat/long,canada,french
gdpl000b16a_e,zip,file,  2.98M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/DPL-LD/gdpl000b16a_e.zip,2016,dpl,designated place,cartographic boundary file,ArcGIS (.shp),lat/long,canada,english
gld_000b16a_f,zip,file,  3M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/DPL-LD/gld_000b16a_f.zip,2016,ld_,designated place,cartographic boundary file,ArcGIS (.shp),lat/long,canada,french
